Entry,ProteinClass
0,MHC
1,Phosphatase
2,Protease
3,RTK
4,MHC
5,Channel
6,GPCR
7,RTK
8,Phosphatase
9,Channel
10,ATPase
11,Ser:Thr
12,GPCR
13,Protease
14,ATPase
15,Ser:Thr
16,Ser:Thr
17,ATPase
18,RTK
19,Phosphatase
20,Channel
21,GPCR
22,ATPase
23,Protease
24,GPCR
25,Protease
26,Channel
27,Channel
28,Phosphatase
29,Protease
30,Channel
31,GPCR
32,MHC
33,Protease
34,ATPase
35,GPCR
36,MHC
37,GPCR
38,GPCR
39,GPCR
40,GPCR
41,GPCR
42,Channel
43,GPCR
44,Ser:Thr
45,GPCR
46,Integrin
47,Protease
48,GPCR
49,Protease
50,Channel
51,Protease
52,Channel
53,GPCR
54,MHC
55,Phosphatase
56,GPCR
57,MHC
58,GPCR
59,Channel
60,GPCR
61,MHC
62,GPCR
63,Channel
64,GPCR
65,Phosphatase
66,RTK
67,GPCR
68,Channel
69,GPCR
70,ATPase
71,GPCR
72,RTK
73,ATPase
74,Channel
75,Channel
76,ATPase
77,Channel
78,GPCR
79,Channel
80,Phosphatase
81,Protease
82,Channel
83,Channel
84,Protease
85,Channel
86,Channel
87,MHC
88,GPCR
89,Channel
90,MHC
91,RTK
92,Phosphatase
93,ATPase
94,Channel
95,ATPase
96,GPCR
97,GPCR
98,Channel
99,MHC
100,ATPase
101,Channel
102,GPCR
103,Ser:Thr
104,Channel
105,Protease
106,Channel
107,ATPase
108,GPCR
109,GPCR
110,Channel
111,Protease
112,ATPase
113,GPCR
114,GPCR
115,GPCR
116,Channel
117,GPCR
118,ATPase
119,GPCR
120,ATPase
121,GPCR
122,GPCR
123,GPCR
124,GPCR
125,GPCR
126,Channel
127,Channel
128,Channel
129,Phosphatase
130,GPCR
131,GPCR
132,Channel
133,GPCR
134,MHC
135,Protease
136,Phosphatase
137,Phosphatase
138,Protease
139,GPCR
140,GPCR
141,Phosphatase
142,MHC
143,Channel
144,GPCR
145,Ser:Thr
146,GPCR
147,Integrin
148,Channel
149,Channel
150,Protease
151,GPCR
152,GPCR
153,Channel
154,ATPase
155,ATPase
156,Phosphatase
157,Channel
158,Channel
159,GPCR
160,Phosphatase
161,RTK
162,Channel
163,Protease
164,Protease
165,Protease
166,GPCR
167,Ser:Thr
168,Channel
169,RTK
170,RTK
171,Channel
172,GPCR
173,RTK
174,ATPase
175,ATPase
176,RTK
177,Channel
178,GPCR
179,GPCR
180,Protease
181,MHC
182,Phosphatase
183,GPCR
184,GPCR
185,GPCR
186,Phosphatase
187,GPCR
188,Integrin
189,Protease
190,GPCR
191,MHC
192,Channel
193,ATPase
194,RTK
195,Phosphatase
196,ATPase
197,Channel
198,Protease
199,Channel
200,RTK
201,RTK
202,Phosphatase
203,GPCR
204,Protease
205,Phosphatase
206,ATPase
207,GPCR
