Feature,F_score,p_value
PL_CTDT_32,117.4798822772722,1.523814255703905e-131
PL_AAIndex1_66,115.66664743469362,3.598089660386723e-130
PL_AAIndex1_387,114.64417324249209,2.1681927882624925e-129
PL_AAIndex1_110,112.17856319052316,1.715306268005772e-127
PL_AAIndex1_433,110.38974141308744,4.23747107350949e-126
PL_AAIndex1_435,109.96220599956035,9.16123522279205e-126
PL_AAIndex1_515,104.06370423921632,4.587509923660813e-121
PL_AAIndex1_446,103.87128767418092,6.568308027322791e-121
PL_AAIndex1_516,103.86407936132545,6.6572701897980235e-121
PL_AAIndex1_514,103.38440161526053,1.6316306328533388e-120
PL_AAIndex1_445,102.46091613254153,9.227526607750128e-120
PL_CTDC_6,102.1919112624995,1.5310923327910844e-119
PL_AAIndex1_447,101.9976169799905,2.2082376534940972e-119
AF1,101.78432961626787,3.3024518057553346e-119
PL_AAIndex1_65,101.21802151654205,9.637062243007997e-119
PL_AAIndex1_452,101.21690164176609,9.657525861952135e-119
PL_AAIndex1_150,101.1770335982542,1.0415145696399548e-118
Gravy,101.1770335982542,1.0415145696399548e-118
PL_AAIndex1_251,100.79902078694404,2.133153445932725e-118
PL_AAIndex1_529,100.77527061406374,2.231549057066095e-118
PL_AAIndex1_183,100.44949345645443,4.14482373726054e-118
F1,100.16166429791849,7.169588762826649e-118
PL_AAIndex1_489,99.66653427902307,1.84413637205221e-117
PL_AAIndex1_114,99.66267970086568,1.857769001062286e-117
PL_AAIndex1_488,99.58788522925941,2.1432502651472745e-117
PL_AAIndex1_483,99.36898468505223,3.257742328253661e-117
BLOSUM1,98.4416300957276,1.9310591635661616e-116
Flexibility,98.31068490895869,2.4846052271450816e-116
PL_AAIndex1_481,98.11876342596443,3.5961626567157463e-116
PL_AAIndex1_177,97.96024622178658,4.882075041986402e-116
PL_AAIndex1_424,97.41814630333542,1.391706766797043e-115
PL_AAIndex1_448,97.3369403424478,1.628618907025212e-115
PL_AAIndex1_438,97.25867030458798,1.8951910993181993e-115
PL_AAIndex1_298,97.24277997698236,1.9544388929207613e-115
PL_AAIndex1_76,97.20355959444906,2.1087485373300918e-115
PL_AAIndex1_127,96.76087565655727,4.977888867357252e-115
PL_AAIndex1_242,96.43043055037992,9.464752236741145e-115
PL_AAIndex1_70,96.32985564993868,1.15120123134608e-114
PL_AAIndex1_129,94.8842800506057,1.945138598078772e-113
VHSE1,94.53789895782104,3.843104164218194e-113
PL_AAIndex1_528,94.25782239401784,6.67177440819666e-113
PL_AAIndex1_355,94.0849606457176,9.381915122582052e-113
D.1,93.9130881578826,1.317172570226018e-112
PL_CTDC_32,93.91308815788258,1.317172570226018e-112
PL_AAIndex1_88,93.91308815788258,1.317172570226018e-112
PL_AAIndex1_10,93.69383968292699,2.0315416900103417e-112
PL_AAIndex1_182,93.63644393560133,2.275773073983521e-112
PL_AAIndex1_56,93.57464503420621,2.5717753735819035e-112
PL_AAIndex1_152,93.32552953905046,4.212057267425855e-112
PL_AAIndex1_247,93.31018037489899,4.342163165101844e-112
PD2,93.16707717954291,5.766871046549376e-112
PL_AAIndex1_29,93.14555296711745,6.018453277547606e-112
PL_AAIndex1_461,93.06787869506846,7.021442628052776e-112
