feature_set,model,fold,score,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
full,RandomForest,1,0.8899082568807339,694,23,4.0,1.0,sqrt,False,,,,,,
full,RandomForest,2,0.944954128440367,694,23,4.0,1.0,sqrt,False,,,,,,
full,RandomForest,3,0.944954128440367,694,23,4.0,1.0,sqrt,False,,,,,,
full,RandomForest,4,0.963302752293578,694,23,4.0,1.0,sqrt,False,,,,,,
full,RandomForest,5,0.9074074074074074,694,23,4.0,1.0,sqrt,False,,,,,,
full,XGBoost,1,0.908256880733945,419,3,,,,,0.15801024606012115,0.7425044664985254,0.9796762740209937,0.2300693407094112,0.054652611800966325,2.876460642412041
full,XGBoost,2,0.926605504587156,419,3,,,,,0.15801024606012115,0.7425044664985254,0.9796762740209937,0.2300693407094112,0.054652611800966325,2.876460642412041
full,XGBoost,3,0.926605504587156,419,3,,,,,0.15801024606012115,0.7425044664985254,0.9796762740209937,0.2300693407094112,0.054652611800966325,2.876460642412041
full,XGBoost,4,0.9724770642201835,419,3,,,,,0.15801024606012115,0.7425044664985254,0.9796762740209937,0.2300693407094112,0.054652611800966325,2.876460642412041
full,XGBoost,5,0.9166666666666666,419,3,,,,,0.15801024606012115,0.7425044664985254,0.9796762740209937,0.2300693407094112,0.054652611800966325,2.876460642412041
full_noPL,RandomForest,1,0.926605504587156,597,24,2.0,2.0,sqrt,False,,,,,,
full_noPL,RandomForest,2,0.9357798165137615,597,24,2.0,2.0,sqrt,False,,,,,,
full_noPL,RandomForest,3,0.944954128440367,597,24,2.0,2.0,sqrt,False,,,,,,
full_noPL,RandomForest,4,0.963302752293578,597,24,2.0,2.0,sqrt,False,,,,,,
full_noPL,RandomForest,5,0.9166666666666666,597,24,2.0,2.0,sqrt,False,,,,,,
full_noPL,XGBoost,1,0.944954128440367,627,7,,,,,0.0969254358741304,0.6421977039321082,0.6915192661966489,0.038489954914396496,0.6243540481337932,2.182534743350856
full_noPL,XGBoost,2,0.9357798165137615,627,7,,,,,0.0969254358741304,0.6421977039321082,0.6915192661966489,0.038489954914396496,0.6243540481337932,2.182534743350856
full_noPL,XGBoost,3,0.926605504587156,627,7,,,,,0.0969254358741304,0.6421977039321082,0.6915192661966489,0.038489954914396496,0.6243540481337932,2.182534743350856
full_noPL,XGBoost,4,0.963302752293578,627,7,,,,,0.0969254358741304,0.6421977039321082,0.6915192661966489,0.038489954914396496,0.6243540481337932,2.182534743350856
full_noPL,XGBoost,5,0.9351851851851852,627,7,,,,,0.0969254358741304,0.6421977039321082,0.6915192661966489,0.038489954914396496,0.6243540481337932,2.182534743350856
pfam,RandomForest,1,0.8440366972477065,629,27,6.0,2.0,sqrt,False,,,,,,
pfam,RandomForest,2,0.8715596330275229,629,27,6.0,2.0,sqrt,False,,,,,,
pfam,RandomForest,3,0.8532110091743119,629,27,6.0,2.0,sqrt,False,,,,,,
pfam,RandomForest,4,0.8256880733944955,629,27,6.0,2.0,sqrt,False,,,,,,
pfam,RandomForest,5,0.7870370370370371,629,27,6.0,2.0,sqrt,False,,,,,,
pfam,XGBoost,1,0.8623853211009175,355,3,,,,,0.2389098652748412,0.908959379708942,0.6671979077877009,0.30240844054534355,0.374271667451838,3.224502489624838
pfam,XGBoost,2,0.8715596330275229,355,3,,,,,0.2389098652748412,0.908959379708942,0.6671979077877009,0.30240844054534355,0.374271667451838,3.224502489624838
pfam,XGBoost,3,0.8807339449541285,355,3,,,,,0.2389098652748412,0.908959379708942,0.6671979077877009,0.30240844054534355,0.374271667451838,3.224502489624838
pfam,XGBoost,4,0.926605504587156,355,3,,,,,0.2389098652748412,0.908959379708942,0.6671979077877009,0.30240844054534355,0.374271667451838,3.224502489624838
pfam,XGBoost,5,0.8425925925925926,355,3,,,,,0.2389098652748412,0.908959379708942,0.6671979077877009,0.30240844054534355,0.374271667451838,3.224502489624838
embed,RandomForest,1,0.926605504587156,471,16,3.0,1.0,sqrt,False,,,,,,
embed,RandomForest,2,0.944954128440367,471,16,3.0,1.0,sqrt,False,,,,,,
embed,RandomForest,3,0.9174311926605505,471,16,3.0,1.0,sqrt,False,,,,,,
embed,RandomForest,4,0.944954128440367,471,16,3.0,1.0,sqrt,False,,,,,,
embed,RandomForest,5,0.9259259259259259,471,16,3.0,1.0,sqrt,False,,,,,,
embed,XGBoost,1,0.9357798165137615,538,13,,,,,0.12098864514557095,0.5905860906266309,0.5105824877458552,0.05774738603954109,0.2685306518021958,2.8576421197336237
embed,XGBoost,2,0.9174311926605505,538,13,,,,,0.12098864514557095,0.5905860906266309,0.5105824877458552,0.05774738603954109,0.2685306518021958,2.8576421197336237
embed,XGBoost,3,0.9357798165137615,538,13,,,,,0.12098864514557095,0.5905860906266309,0.5105824877458552,0.05774738603954109,0.2685306518021958,2.8576421197336237
embed,XGBoost,4,0.9541284403669725,538,13,,,,,0.12098864514557095,0.5905860906266309,0.5105824877458552,0.05774738603954109,0.2685306518021958,2.8576421197336237
embed,XGBoost,5,0.9351851851851852,538,13,,,,,0.12098864514557095,0.5905860906266309,0.5105824877458552,0.05774738603954109,0.2685306518021958,2.8576421197336237
