Iteration 1, loss = 2.06526689
Iteration 2, loss = 0.61269225
Iteration 3, loss = 0.44286333
Iteration 4, loss = 0.38863178
Iteration 5, loss = 0.36985943
Iteration 6, loss = 0.35901373
Iteration 7, loss = 0.35429097
Iteration 8, loss = 0.35231776
Iteration 9, loss = 0.35061807
Iteration 10, loss = 0.34889930
Iteration 11, loss = 0.34769443
Iteration 12, loss = 0.34656206
Iteration 13, loss = 0.34545600
Iteration 14, loss = 0.34440504
Iteration 15, loss = 0.34340101
Iteration 16, loss = 0.34241101
Iteration 17, loss = 0.34141685
Iteration 18, loss = 0.34041734
Iteration 19, loss = 0.33941273
Iteration 20, loss = 0.33840449
Iteration 21, loss = 0.33737409
Iteration 22, loss = 0.33633876
Iteration 23, loss = 0.33529139
Iteration 24, loss = 0.33422877
Iteration 25, loss = 0.33315548
Iteration 26, loss = 0.33207020
Iteration 27, loss = 0.33097453
Iteration 28, loss = 0.32986671
Iteration 29, loss = 0.32874762
Iteration 30, loss = 0.32761710
Iteration 31, loss = 0.32647772
Iteration 32, loss = 0.32532589
Iteration 33, loss = 0.32416492
Iteration 34, loss = 0.32299359
Iteration 35, loss = 0.32181344
Iteration 36, loss = 0.32062496
Iteration 37, loss = 0.31942745
Iteration 38, loss = 0.31822173
Iteration 39, loss = 0.31700804
Iteration 40, loss = 0.31578591
Iteration 41, loss = 0.31455660
Iteration 42, loss = 0.31332014
Iteration 43, loss = 0.31207708
Iteration 44, loss = 0.31082807
Iteration 45, loss = 0.30957114
Iteration 46, loss = 0.30830957
Iteration 47, loss = 0.30704216
Iteration 48, loss = 0.30576865
Iteration 49, loss = 0.30448977
Iteration 50, loss = 0.30320631
Iteration 51, loss = 0.30191807
Iteration 52, loss = 0.30062560
Iteration 53, loss = 0.29932863
Iteration 54, loss = 0.29802716
Iteration 55, loss = 0.29672196
Iteration 56, loss = 0.29541383
Iteration 57, loss = 0.29410040
Iteration 58, loss = 0.29278520
Iteration 59, loss = 0.29146729
Iteration 60, loss = 0.29014553
Iteration 61, loss = 0.28882133
Iteration 62, loss = 0.28749544
Iteration 63, loss = 0.28616690
Iteration 64, loss = 0.28483571
Iteration 65, loss = 0.28350326
Iteration 66, loss = 0.28216897
Iteration 67, loss = 0.28083334
Iteration 68, loss = 0.27949660
Iteration 69, loss = 0.27815767
Iteration 70, loss = 0.27681826
Iteration 71, loss = 0.27547716
Iteration 72, loss = 0.27413639
Iteration 73, loss = 0.27279475
Iteration 74, loss = 0.27145221
Iteration 75, loss = 0.27010966
Iteration 76, loss = 0.26876752
Iteration 77, loss = 0.26742481
Iteration 78, loss = 0.26608251
Iteration 79, loss = 0.26474019
Iteration 80, loss = 0.26339847
Iteration 81, loss = 0.26205710
Iteration 82, loss = 0.26071665
Iteration 83, loss = 0.25937664
Iteration 84, loss = 0.25803826
Iteration 85, loss = 0.25670036
Iteration 86, loss = 0.25536372
Iteration 87, loss = 0.25402819
Iteration 88, loss = 0.25269455
Iteration 89, loss = 0.25136178
Iteration 90, loss = 0.25003067
Iteration 91, loss = 0.24870150
Iteration 92, loss = 0.24737400
Iteration 93, loss = 0.24604855
Iteration 94, loss = 0.24472517
Iteration 95, loss = 0.24340416
Iteration 96, loss = 0.24208444
Iteration 97, loss = 0.24076729
Iteration 98, loss = 0.23945279
Iteration 99, loss = 0.23814050
Iteration 100, loss = 0.23683088
Iteration 101, loss = 0.23552414
Iteration 102, loss = 0.23421959
Iteration 103, loss = 0.23291877
Iteration 104, loss = 0.23161997
Iteration 105, loss = 0.23032438
Iteration 106, loss = 0.22903200
Iteration 107, loss = 0.22774239
Iteration 108, loss = 0.22645587
Iteration 109, loss = 0.22517310
Iteration 110, loss = 0.22389310
Iteration 111, loss = 0.22261660
Iteration 112, loss = 0.22134399
Iteration 113, loss = 0.22007449
Iteration 114, loss = 0.21880837
Iteration 115, loss = 0.21754680
Iteration 116, loss = 0.21628762
Iteration 117, loss = 0.21503318
Iteration 118, loss = 0.21378192
Iteration 119, loss = 0.21253470
Iteration 120, loss = 0.21129145
Iteration 121, loss = 0.21005234
Iteration 122, loss = 0.20881689
Iteration 123, loss = 0.20758580
Iteration 124, loss = 0.20635828
Iteration 125, loss = 0.20513536
Iteration 126, loss = 0.20391662
Iteration 127, loss = 0.20270191
Iteration 128, loss = 0.20149169
Iteration 129, loss = 0.20028602
Iteration 130, loss = 0.19908395
Iteration 131, loss = 0.19788666
Iteration 132, loss = 0.19669360
Iteration 133, loss = 0.19550504
Iteration 134, loss = 0.19432121
Iteration 135, loss = 0.19314189
Iteration 136, loss = 0.19196766
Iteration 137, loss = 0.19079684
Iteration 138, loss = 0.18963140
Iteration 139, loss = 0.18846989
Iteration 140, loss = 0.18731315
Iteration 141, loss = 0.18616161
Iteration 142, loss = 0.18501448
Iteration 143, loss = 0.18387281
Iteration 144, loss = 0.18273562
Iteration 145, loss = 0.18160287
Iteration 146, loss = 0.18047543
Iteration 147, loss = 0.17935148
Iteration 148, loss = 0.17823343
Iteration 149, loss = 0.17712033
Iteration 150, loss = 0.17601192
Iteration 151, loss = 0.17490826
Iteration 152, loss = 0.17381002
Iteration 153, loss = 0.17271609
Iteration 154, loss = 0.17162743
Iteration 155, loss = 0.17054363
Iteration 156, loss = 0.16946524
Iteration 157, loss = 0.16839133
Iteration 158, loss = 0.16732230
Iteration 159, loss = 0.16625854
Iteration 160, loss = 0.16519993
Iteration 161, loss = 0.16414694
Iteration 162, loss = 0.16309754
Iteration 163, loss = 0.16205358
Iteration 164, loss = 0.16101496
Iteration 165, loss = 0.15998189
Iteration 166, loss = 0.15895338
Iteration 167, loss = 0.15792962
Iteration 168, loss = 0.15691119
Iteration 169, loss = 0.15589755
Iteration 170, loss = 0.15488965
Iteration 171, loss = 0.15388677
Iteration 172, loss = 0.15288899
Iteration 173, loss = 0.15189589
Iteration 174, loss = 0.15090821
Iteration 175, loss = 0.14992547
Iteration 176, loss = 0.14894735
Iteration 177, loss = 0.14797462
Iteration 178, loss = 0.14700716
Iteration 179, loss = 0.14604449
Iteration 180, loss = 0.14508719
Iteration 181, loss = 0.14413462
Iteration 182, loss = 0.14318753
Iteration 183, loss = 0.14224548
Iteration 184, loss = 0.14130801
Iteration 185, loss = 0.14037573
Iteration 186, loss = 0.13944903
Iteration 187, loss = 0.13852679
Iteration 188, loss = 0.13761010
Iteration 189, loss = 0.13669825
Iteration 190, loss = 0.13579109
Iteration 191, loss = 0.13488881
Iteration 192, loss = 0.13399210
Iteration 193, loss = 0.13310009
Iteration 194, loss = 0.13221325
Iteration 195, loss = 0.13133145
Iteration 196, loss = 0.13045426
Iteration 197, loss = 0.12958321
Iteration 198, loss = 0.12871542
Iteration 199, loss = 0.12785288
Iteration 200, loss = 0.12699618
Iteration 201, loss = 0.12614386
Iteration 202, loss = 0.12529653
Iteration 203, loss = 0.12445444
Iteration 204, loss = 0.12361652
Iteration 205, loss = 0.12278411
Iteration 206, loss = 0.12195630
Iteration 207, loss = 0.12113337
Iteration 208, loss = 0.12031528
Iteration 209, loss = 0.11950218
Iteration 210, loss = 0.11869365
Iteration 211, loss = 0.11789150
Iteration 212, loss = 0.11709133
Iteration 213, loss = 0.11629710
Iteration 214, loss = 0.11550757
Iteration 215, loss = 0.11472399
Iteration 216, loss = 0.11394353
Iteration 217, loss = 0.11316837
Iteration 218, loss = 0.11239811
Iteration 219, loss = 0.11163198
Iteration 220, loss = 0.11087119
Iteration 221, loss = 0.11011530
Iteration 222, loss = 0.10936383
Iteration 223, loss = 0.10861607
Iteration 224, loss = 0.10787331
Iteration 225, loss = 0.10713578
Iteration 226, loss = 0.10640231
Iteration 227, loss = 0.10567331
Iteration 228, loss = 0.10494914
Iteration 229, loss = 0.10422965
Iteration 230, loss = 0.10351403
Iteration 231, loss = 0.10280374
Iteration 232, loss = 0.10209795
Iteration 233, loss = 0.10139520
Iteration 234, loss = 0.10069852
Iteration 235, loss = 0.10000518
Iteration 236, loss = 0.09931651
Iteration 237, loss = 0.09863226
Iteration 238, loss = 0.09795241
Iteration 239, loss = 0.09727704
Iteration 240, loss = 0.09660579
Iteration 241, loss = 0.09594068
Iteration 242, loss = 0.09527677
Iteration 243, loss = 0.09461888
Iteration 244, loss = 0.09396456
Iteration 245, loss = 0.09331477
Iteration 246, loss = 0.09267012
Iteration 247, loss = 0.09202767
Iteration 248, loss = 0.09139051
Iteration 249, loss = 0.09075828
Iteration 250, loss = 0.09012877
Iteration 251, loss = 0.08950481
Iteration 252, loss = 0.08888424
Iteration 253, loss = 0.08826741
Iteration 254, loss = 0.08765412
Iteration 255, loss = 0.08704589
Iteration 256, loss = 0.08644244
Iteration 257, loss = 0.08584267
Iteration 258, loss = 0.08524572
Iteration 259, loss = 0.08465336
Iteration 260, loss = 0.08406458
Iteration 261, loss = 0.08348049
Iteration 262, loss = 0.08289989
Iteration 263, loss = 0.08232273
Iteration 264, loss = 0.08175016
Iteration 265, loss = 0.08118098
Iteration 266, loss = 0.08061623
Iteration 267, loss = 0.08005574
Iteration 268, loss = 0.07949716
Iteration 269, loss = 0.07894356
Iteration 270, loss = 0.07839405
Iteration 271, loss = 0.07784742
Iteration 272, loss = 0.07730513
Iteration 273, loss = 0.07676653
Iteration 274, loss = 0.07623106
Iteration 275, loss = 0.07570025
Iteration 276, loss = 0.07517289
Iteration 277, loss = 0.07464794
Iteration 278, loss = 0.07412713
Iteration 279, loss = 0.07361047
Iteration 280, loss = 0.07309752
Iteration 281, loss = 0.07258774
Iteration 282, loss = 0.07208053
Iteration 283, loss = 0.07157991
Iteration 284, loss = 0.07107925
Iteration 285, loss = 0.07058290
Iteration 286, loss = 0.07009019
Iteration 287, loss = 0.06960146
Iteration 288, loss = 0.06911592
Iteration 289, loss = 0.06863392
Iteration 290, loss = 0.06815606
Iteration 291, loss = 0.06768033
Iteration 292, loss = 0.06720838
Iteration 293, loss = 0.06673904
Iteration 294, loss = 0.06627396
Iteration 295, loss = 0.06581142
Iteration 296, loss = 0.06535215
Iteration 297, loss = 0.06489704
Iteration 298, loss = 0.06444454
Iteration 299, loss = 0.06399605
Iteration 300, loss = 0.06354978
Iteration 301, loss = 0.06310707
Iteration 302, loss = 0.06266677
Iteration 303, loss = 0.06223132
Iteration 304, loss = 0.06179635
Iteration 305, loss = 0.06136595
Iteration 306, loss = 0.06093929
Iteration 307, loss = 0.06051450
Iteration 308, loss = 0.06009333
Iteration 309, loss = 0.05967558
Iteration 310, loss = 0.05926005
Iteration 311, loss = 0.05884762
Iteration 312, loss = 0.05843946
Iteration 313, loss = 0.05803226
Iteration 314, loss = 0.05762911
Iteration 315, loss = 0.05722841
Iteration 316, loss = 0.05683115
Iteration 317, loss = 0.05643614
Iteration 318, loss = 0.05604468
Iteration 319, loss = 0.05565728
Iteration 320, loss = 0.05526996
Iteration 321, loss = 0.05488699
Iteration 322, loss = 0.05450605
Iteration 323, loss = 0.05412819
Iteration 324, loss = 0.05375345
Iteration 325, loss = 0.05338097
Iteration 326, loss = 0.05301167
Iteration 327, loss = 0.05264482
Iteration 328, loss = 0.05228084
Iteration 329, loss = 0.05191968
Iteration 330, loss = 0.05156019
Iteration 331, loss = 0.05120385
Iteration 332, loss = 0.05085019
Iteration 333, loss = 0.05049996
Iteration 334, loss = 0.05015148
Iteration 335, loss = 0.04980547
Iteration 336, loss = 0.04946340
Iteration 337, loss = 0.04912164
Iteration 338, loss = 0.04878324
Iteration 339, loss = 0.04844726
Iteration 340, loss = 0.04811517
Iteration 341, loss = 0.04778481
Iteration 342, loss = 0.04745623
Iteration 343, loss = 0.04712989
Iteration 344, loss = 0.04680702
Iteration 345, loss = 0.04648569
Iteration 346, loss = 0.04616691
Iteration 347, loss = 0.04585095
Iteration 348, loss = 0.04553712
Iteration 349, loss = 0.04522533
Iteration 350, loss = 0.04491621
Iteration 351, loss = 0.04460942
Iteration 352, loss = 0.04430515
Iteration 353, loss = 0.04400309
Iteration 354, loss = 0.04370364
Iteration 355, loss = 0.04340477
Iteration 356, loss = 0.04310941
Iteration 357, loss = 0.04281702
Iteration 358, loss = 0.04252843
Iteration 359, loss = 0.04223695
