Entry,ProteinClass
P21611,MHC
Q66GT5,Phosphatase
Q9Y006,Protease
P05622,RTK
P06343,MHC
P50281,Protease
Q13255,GPCR
P08069,RTK
B0V2N1,Phosphatase
Q9Y5Z0,Protease
P37617,ATPase
C0LGQ5,Ser:Thr
O95136,GPCR
P44783,Protease
P29846,ATPase
Q0JA29,Ser:Thr
Q04771,Ser:Thr
P05030,ATPase
D2IYS2,RTK
O61722,Phosphatase
P63252,Channel
O43193,GPCR
P26664,ATPase
P02919,Protease
Q8II36,Aquaporin
O75976,Protease
Q12791,Channel
Q16281,Channel
F1NWE3,Phosphatase
P19440,Protease
Q14721,Channel
P47872,GPCR
Q30154,MHC
Q9BYF1,Protease
P29990,ATPase
P47898,GPCR
P14432,MHC
P46663,GPCR
P04839,Channel
Q9H313,Channel
P21731,GPCR
Q15722,GPCR
Q8NCM2,Channel
Q9HB89,GPCR
P27038,Ser:Thr
P43119,GPCR
P18564,Integrin
Q9UMZ3,Phosphatase
Q92633,GPCR
Q9Y5Y6,Protease
Q15822,Channel
P08473,Protease
Q92736,Channel
P06624,Aquaporin
P01909,MHC
P23229,Integrin
P33032,GPCR
P01888,MHC
P32246,GPCR
Q9Y5Y9,Channel
P35408,GPCR
P61769,MHC
O14493,Channel
Q8TD43,Channel
Q9Y691,Channel
Q92729,Phosphatase
P35590,RTK
P32239,GPCR
Q9Y2W7,Channel
O95838,GPCR
Q59998,ATPase
P29274,GPCR
P04412,RTK
Q4H132,ATPase
Q13698,Channel
Q13507,Channel
A0A6I8R0A5,ATPase
Q13936,Channel
P21918,GPCR
Q9Y6J6,Channel
Q13332,Phosphatase
P15145,Protease
Q9H813,Channel
Q923J1,Ser:Thr
Q8IIL0,Protease
Q05586,Channel
Q86WV6,Channel
Q5MGS7,MHC
Q9HC97,GPCR
A0A1W2PRB0,Channel
P04223,MHC
P54763,RTK
P53041,Phosphatase
P26662,ATPase
Q0GXS4,RTK
P03960,ATPase
P28335,GPCR
P41595,GPCR
P20701,Integrin
P20036,MHC
P17326,ATPase
O95259,Channel
Q8NFN8,GPCR
Q09013,Ser:Thr
Q12809,Channel
P22411,Protease
P39086,Channel
Q38846,Ser:Thr
P25106,GPCR
P55064,Aquaporin
P54289,Channel
Q61391,Protease
P07564,ATPase
P30926,Channel
Q96LA9,GPCR
P32248,GPCR
Q03431,GPCR
Q9H2S1,Channel
Q42932,ATPase
Q13639,GPCR
O29777,ATPase
P25021,GPCR
P08913,GPCR
P25024,GPCR
P35372,GPCR
O88272,Protease
Q9C0H2,Channel
Q16819,Protease
A0A090N8Q0,Channel
I6WXK4,Phosphatase
Q86Y34,GPCR
Q96RJ0,GPCR
D6WMX4,Ser:Thr
Q02643,GPCR
P13747,MHC
Q6UD73,Ser:Thr
P9WI83,Ser:Thr
P49597,Phosphatase
Q8IM16,Protease
P49190,GPCR
Q8TDS7,GPCR
P78536,Protease
P01900,MHC
Q9Y696,Channel
P50052,GPCR
Q9SCZ4,Ser:Thr
P41145,GPCR
P05556,Integrin
O95069,Channel
O75844,Protease
Q9HVM5,Protease
Q96PS8,Aquaporin
P25105,GPCR
P49810,Protease
O32220,ATPase
P12823,ATPase
Q92932,Phosphatase
Q96D96,Channel
Q15878,Channel
P32245,GPCR
P16621,Phosphatase
Q61006,RTK
Q9KLK7,Phosphatase
P0C6X7,Protease
Q5EGZ1,Protease
Q56H28,Protease
P21554,GPCR
Q9SGP2,Ser:Thr
P08922,RTK
P16234,RTK
P54762,RTK
Q15858,Channel
Q41951,Aquaporin
P11362,RTK
P06935,Protease
Q5ZWR1,ATPase
Q03145,RTK
O43525,Channel
P43115,GPCR
Q96LB1,GPCR
P39898,Protease
P01901,MHC
Q9HD43,Phosphatase
Q8TDS4,GPCR
P48039,GPCR
Q8TDU6,GPCR
P49599,Phosphatase
P43116,GPCR
P05106,Integrin
Q9UQQ1,Protease
P21917,GPCR
Q07717,MHC
Q7Z2W7,Channel
P07038,ATPase
P10721,RTK
Q9H1R2,Phosphatase
P09866,ATPase
Q9BXS9,Channel
P00803,Protease
Q9HA72,Channel
Q9BZ11,Protease
P22455,RTK
O75688,Phosphatase
Q6LZY8,Protease
P08049,Protease
Q64487,Phosphatase
Q9S7J8,ATPase
P18825,GPCR
Q02763,RTK
P30511,MHC
O14649,Channel
Q16820,Protease
Q8Y8Q5,ATPase
P37475,Phosphatase
Q9NPC2,Channel
P35546,RTK
P15382,Channel
Q86W47,Channel
Q6YMS4,ATPase
Q15413,Channel
Q03137,RTK
P10321,MHC
P34981,GPCR
Q9ZWC8,Ser:Thr
Q9NR82,Channel
P12821,Protease
P11607,ATPase
P09169,Protease
O67077,Protease
Q1LX78,ATPase
Q14831,GPCR
P07949,RTK
Q6P179,Protease
P01887,MHC
Q12879,Channel
P42787,Protease
P11229,GPCR
P25929,GPCR
Q9C4Z5,Aquaporin
P51685,GPCR
P28078,MHC
Q8NFU1,Channel
Q8TDV5,GPCR
P47211,GPCR
P04157,Phosphatase
O00222,GPCR
P28222,GPCR
P22001,Channel
P32241,GPCR
Q06418,RTK
Q9Y2T5,GPCR
P26361,ATPase
Q9Y6H6,Channel
A0A0H2ZQ91,ATPase
P24530,GPCR
Q99500,GPCR
P0C6U8,Protease
P14429,MHC
P42262,Channel
P30874,GPCR
P76387,RTK
P28223,GPCR
Q12913,Phosphatase
P24046,Channel
P21709,RTK
A8MYU2,Channel
P21462,GPCR
P26661,ATPase
P15208,RTK
Q12884,Protease
P21730,GPCR
P10586,Phosphatase
Q9NQW8,Channel
Q9FII5,Ser:Thr
P38570,Integrin
Q9BSA9,Channel
P26010,Integrin
P27487,Protease
O00555,Channel
Q16602,GPCR
P23416,Channel
Q96QZ0,Channel
P35348,GPCR
P0DTD1,Protease
P06685,ATPase
P30556,GPCR
P41180,GPCR
P43298,Ser:Thr
Q9Y5Y4,GPCR
P29322,RTK
P49768,Protease
Q96RD7,Channel
P0DMS8,GPCR
Q9H3N8,GPCR
P51168,Channel
Q8I6V3,Protease
Q14573,Channel
P13612,Integrin
Q01718,GPCR
P46014,Phosphatase
Q15303,RTK
Q3YW59,ATPase
P01910,MHC
O95476,Phosphatase
P53042,Phosphatase
O00180,Channel
A0A0P0XII1,Ser:Thr
O43603,GPCR
Q5JW98,Channel
P23415,Channel
P11215,Integrin
Q13324,GPCR
Q01668,Channel
Q96P66,GPCR
Q9HBA0,Channel
Q9SIT1,Ser:Thr
Q9BY50,Protease
P35498,Channel
O95278,Phosphatase
O76090,Channel
O95977,GPCR
P0DTC1,Protease
Q13002,Channel
P05532,RTK
Q93096,Phosphatase
P01897,MHC
Q16515,Channel
P35968,RTK
Q04912,RTK
Q9NS61,Channel
Q8TCU5,Channel
Q9UQD0,Channel
P9WI77,Ser:Thr
Q8TDD5,Channel
Q8IZF6,GPCR
Q5T601,GPCR
P32297,Channel
P26660,ATPase
Q9BXB1,GPCR
P36898,Ser:Thr
Q99788,GPCR
Q7XV05,Ser:Thr
Q9HBX9,GPCR
Q99678,GPCR
P37088,Channel
O15393,Protease
Q01499,ATPase
Q9Y210,Channel
P51787,Channel
